Kode Cabang|No Anggota|No Pemesanan|No PO|Tgl Pemesanan|Kode Alamat|Kode PLU|Satuan|Harga (Rp)|Jml Pesanan|Bebas Biaya Pengiriman|Nama Penerima|Email|No Hp|Nama WP|NPWP|Alamat WP
06|299992/web/bln/tgl|001309/cor/06/2018|PO-2045/VI/2018|04/06/2018|Jl. Ring Road Bar. No.99, Trihanggo, Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592,Trihanggo,Gamping,Kab. Sleman,DI Yogyakarta,55291|0000231|BH|2900|40|Y|PT INDOROTI PRIMA CEMERLANG (YOG)||02746499224|||
06|299992/web/bln/tgl|001309/cor/06/2018|PO-2045/VI/2018|04/06/2018|Jl. Ring Road Bar. No.99, Trihanggo, Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592,Trihanggo,Gamping,Kab. Sleman,DI Yogyakarta,55291|0000852|HGR|10100|2|Y|PT INDOROTI PRIMA CEMERLANG (YOG)||02746499224|||
06|299992/web/bln/tgl|001309/cor/06/2018|PO-2045/VI/2018|04/06/2018|Jl. Ring Road Bar. No.99, Trihanggo, Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592,Trihanggo,Gamping,Kab. Sleman,DI Yogyakarta,55291|0862901|PCS|164500|10|Y|PT INDOROTI PRIMA CEMERLANG (YOG)||02746499224|||
06|299992/web/bln/tgl|001309/cor/06/2018|PO-2045/VI/2018|04/06/2018|Jl. Ring Road Bar. No.99, Trihanggo, Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592,Trihanggo,Gamping,Kab. Sleman,DI Yogyakarta,55291|0898161|PCS|5600|5|Y|PT INDOROTI PRIMA CEMERLANG (YOG)||02746499224|||
06|299992/web/bln/tgl|001309/cor/06/2018|PO-2045/VI/2018|04/06/2018|Jl. Ring Road Bar. No.99, Trihanggo, Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592,Trihanggo,Gamping,Kab. Sleman,DI Yogyakarta,55291|1047391|PCS|7500|3|Y|PT INDOROTI PRIMA CEMERLANG (YOG)||02746499224|||
06|299992/web/bln/tgl|001309/cor/06/2018|PO-2045/VI/2018|04/06/2018|Jl. Ring Road Bar. No.99, Trihanggo, Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592,Trihanggo,Gamping,Kab. Sleman,DI Yogyakarta,55291|1119281|PCS|1700|60|Y|PT INDOROTI PRIMA CEMERLANG (YOG)||02746499224|||
06|299992/web/bln/tgl|001309/cor/06/2018|PO-2045/VI/2018|04/06/2018|Jl. Ring Road Bar. No.99, Trihanggo, Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592,Trihanggo,Gamping,Kab. Sleman,DI Yogyakarta,55291|1250151|PCS|22500|1|Y|PT INDOROTI PRIMA CEMERLANG (YOG)||02746499224|||
06|299992/web/bln/tgl|001309/cor/06/2018|PO-2045/VI/2018|04/06/2018|Jl. Ring Road Bar. No.99, Trihanggo, Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592,Trihanggo,Gamping,Kab. Sleman,DI Yogyakarta,55291|1291611|PCS|41950|3|Y|PT INDOROTI PRIMA CEMERLANG (YOG)||02746499224|||
06|299992/web/bln/tgl|001309/cor/06/2018|PO-2045/VI/2018|04/06/2018|Jl. Ring Road Bar. No.99, Trihanggo, Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592,Trihanggo,Gamping,Kab. Sleman,DI Yogyakarta,55291|1327011|PCS|17600|2|Y|PT INDOROTI PRIMA CEMERLANG (YOG)||02746499224|||
