Kode Cabang|No Anggota|No Pemesanan|No PO|Tgl Pemesanan|Kode Alamat|Kode PLU|Satuan|Harga (Rp)|Jml Pesanan|Bebas Biaya Pengiriman
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|0000852|HGR|9500|5|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|0001671|PCS|6400|5|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|0015191|PCS|6600|5|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|0114641|PCS|14100|6|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|0121981|PCS|4500|30|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|0287961|PCS|24400|5|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|0381241|PCS|3500|12|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|0391921|PCS|7065|300|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|0399651|PCS|1775|5|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|0433711|PCS|9500|1|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|0733401|PCS|11800|5|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|0758991|PCS|6500|20|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|0887131|PCS|4800|20|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|1007541|PCS|15950|12|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|1047391|PCS|7000|144|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|1057321|PCS|5350|12|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|1058731|PCS|10270|10|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|1155071|PCS|27500|6|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|1162721|PCS|9900|5|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|1219631|PCS|15350|2|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|1264091|PCS|128500|5|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|1264101|PCS|133500|2|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|1301641|PCS|30000|10|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|1326991|PCS|3650|10|Y
16|209131/web/bln/tgl|000012/cor/01/2018|NO-PO-000476|09/01/2018|KAWASAN INDUSTRI KOTA BUKIT INDAH SEKTOR N BLOK N1 NO.5 DESA DANGDEUR, BUNGURSARI KAB PURWAKARTA.,Bintara,Bekasi Barat,Kota Bekasi,Jawa Barat,17134|1327281|PCS|6000|12|Y
