Kode Cabang|No Anggota|No Pemesanan|No PO|Tgl Pemesanan|Kode Alamat|Kode PLU|Satuan|Harga (Rp)|Jml Pesanan|Bebas Biaya Pengiriman|Nama Penerima|Nama WP|NPWP|Alamat WP
33|280676/web/bln/tgl|000564/odr/04/2018|NO-PO-001110|03/04/2018|Jl. Madusila No. 14,Anduonohu,Poasia,Kota Kendari,Sulawesi Tenggara,93231|0191163|BOX|115000|3|Y|PGA2KRI|PT. INTI CAKRAWALA CITRA|01.781.214.0-046.000|JL.ANCOL BARAT I NO. 9 - 10, ANCOL PADEMANGAN JAKARTA UTARA DKI JAKARTA - 14430
33|280676/web/bln/tgl|000564/odr/04/2018|NO-PO-001110|03/04/2018|Jl. Madusila No. 14,Anduonohu,Poasia,Kota Kendari,Sulawesi Tenggara,93231|0466491|PCS|1955.8333333333|12|Y|PGA2KRI|PT. INTI CAKRAWALA CITRA|01.781.214.0-046.000|JL.ANCOL BARAT I NO. 9 - 10, ANCOL PADEMANGAN JAKARTA UTARA DKI JAKARTA - 14430
33|280676/web/bln/tgl|000564/odr/04/2018|NO-PO-001110|03/04/2018|Jl. Madusila No. 14,Anduonohu,Poasia,Kota Kendari,Sulawesi Tenggara,93231|1338473|BOX|25250|5|Y|PGA2KRI|PT. INTI CAKRAWALA CITRA|01.781.214.0-046.000|JL.ANCOL BARAT I NO. 9 - 10, ANCOL PADEMANGAN JAKARTA UTARA DKI JAKARTA - 14430
33|280676/web/bln/tgl|000564/odr/04/2018|NO-PO-001110|03/04/2018|Jl. Madusila No. 14,Anduonohu,Poasia,Kota Kendari,Sulawesi Tenggara,93231|1381312|PCS|4950|4|Y|PGA2KRI|PT. INTI CAKRAWALA CITRA|01.781.214.0-046.000|JL.ANCOL BARAT I NO. 9 - 10, ANCOL PADEMANGAN JAKARTA UTARA DKI JAKARTA - 14430
33|280676/web/bln/tgl|000564/odr/04/2018|NO-PO-001110|03/04/2018|Jl. Madusila No. 14,Anduonohu,Poasia,Kota Kendari,Sulawesi Tenggara,93231|1381322|PCS|12600|4|Y|PGA2KRI|PT. INTI CAKRAWALA CITRA|01.781.214.0-046.000|JL.ANCOL BARAT I NO. 9 - 10, ANCOL PADEMANGAN JAKARTA UTARA DKI JAKARTA - 14430
